ERROR 2025-09-24 13:10:44,246 base Test connessione fallito per Test Midocean: Error 10061 connecting to localhost:6379. Impossibile stabilire la connessione. Rifiuto persistente del computer di destinazione.
ERROR 2025-09-24 13:10:44,260 client Test connessione WooCommerce fallito: Invalid URL '/wp-json/wc/v3/products?per_page=1&oauth_consumer_key=&oauth_timestamp=1758712244&oauth_nonce=4c7ff265bbe6004f3fa4bf403995ab131f6e3f94&oauth_signature_method=HMAC-SHA256&oauth_signature=uYm3IbB72Pw4scNo2vczr3PDXe2Z4AwrrNuMFK08%2BiU%3D': No scheme supplied. Perhaps you meant https:///wp-json/wc/v3/products?per_page=1&oauth_consumer_key=&oauth_timestamp=1758712244&oauth_nonce=4c7ff265bbe6004f3fa4bf403995ab131f6e3f94&oauth_signature_method=HMAC-SHA256&oauth_signature=uYm3IbB72Pw4scNo2vczr3PDXe2Z4AwrrNuMFK08%2BiU%3D?
ERROR 2025-09-24 13:20:06,324 base Test connessione fallito per MKTO Web Service: Error 10061 connecting to localhost:6379. Impossibile stabilire la connessione. Rifiuto persistente del computer di destinazione.
ERROR 2025-09-24 13:20:48,225 base Test connessione fallito per MKTO Web Service: Error 10061 connecting to localhost:6379. Impossibile stabilire la connessione. Rifiuto persistente del computer di destinazione.
ERROR 2025-09-24 13:51:23,864 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2453/variantes/2453-003-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
ERROR 2025-09-24 13:51:23,870 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2453/variantes/2453-004-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
ERROR 2025-09-24 13:51:23,878 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2453/variantes/2453-019-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
ERROR 2025-09-24 13:51:23,893 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2453/variantes/2453-002-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
ERROR 2025-09-24 13:51:23,940 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2469/variantes/2469-005-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
ERROR 2025-09-24 13:51:23,952 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2469/variantes/2469-021-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
ERROR 2025-09-24 13:51:23,961 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2469/variantes/2469-228-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
ERROR 2025-09-24 13:51:23,965 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2469/variantes/2469-001-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
ERROR 2025-09-24 13:51:23,975 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2469/variantes/2469-002-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
ERROR 2025-09-24 13:51:23,991 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2469/variantes/2469-003-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
ERROR 2025-09-24 13:51:24,006 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2469/variantes/2469-004-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
ERROR 2025-09-24 13:51:24,031 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2483/variantes/2483-005-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
ERROR 2025-09-24 13:51:24,037 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2483/variantes/2483-019-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
ERROR 2025-09-24 13:51:24,048 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2483/variantes/2483-001-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
ERROR 2025-09-24 13:51:24,056 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2483/variantes/2483-002-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
ERROR 2025-09-24 13:51:24,068 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2483/variantes/2483-003-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
ERROR 2025-09-24 13:51:24,080 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2483/variantes/2483-004-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
ERROR 2025-09-24 13:51:24,120 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2494/variantes/2494-216-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
ERROR 2025-09-24 13:51:24,146 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2500/variantes/2500-005-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
ERROR 2025-09-24 13:51:24,150 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2500/variantes/2500-019-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
ERROR 2025-09-24 13:51:24,158 sync_service Errore creazione variante {'supplier_variant_ref': '', 'sku': '', 'color': '', 'color_code': '', 'size': 'S/T', 'gtin': '', 'image': 'https://imgresources.makito.es/media/img_web/2000/2500/variantes/2500-001-P.jpg'}: UNIQUE constraint failed: products_productvariant.sku
